FireNum, XStart, YStart, Acres
146, 4538662.00, 3215390.00, 2485.88
147, 4584985.00, 3218612.00, 2967.74
148, 4572580.00, 3256248.00, 2634.14
149, 4583277.00, 3211670.00, 2288.20
150, 4557462.00, 3227531.00, 2935.61
151, 4528287.00, 3229464.00, 1218.23
152, 4560480.00, 3198814.00, 2431.52
153, 4561526.00, 3236232.00, 3452.06
154, 4531071.00, 3222542.00, 18308.04
155, 4575319.00, 3228334.00, 3219.78
156, 4571684.00, 3229180.00, 1991.67
157, 4537516.00, 3259768.00, 4776.55
158, 4519697.00, 3216674.00, 1398.62
159, 4518373.00, 3203754.00, 1865.65
160, 4586010.00, 3200353.00, 333.59
161, 4585094.00, 3212920.00, 242.16
162, 4580361.00, 3249498.00, 882.17
163, 4524051.00, 3249510.00, 2238.77
164, 4572286.00, 3220136.00, 2453.76
165, 4585623.00, 3231790.00, 2228.89
166, 4564278.00, 3233750.00, 4304.58
167, 4580662.00, 3254616.00, 4134.07
168, 4582530.00, 3235049.00, 2357.39
169, 4586406.00, 3220387.00, 2404.34
170, 4567353.00, 3236683.00, 4000.64
171, 4570806.00, 3231537.00, 6160.34
172, 4519188.00, 3227695.00, 1630.90
173, 4546504.00, 3199517.00, 2520.47
174, 4526616.00, 3229137.00, 1255.30
175, 4535465.00, 3259035.00, 2327.73
176, 4552394.00, 3215611.00, 3293.91
177, 4528434.00, 3204978.00, 2569.90
178, 4544438.00, 3217302.00, 9103.36
179, 4565441.00, 3224721.00, 3439.71
180, 4540465.00, 3263045.00, 3501.48
181, 4520178.00, 3239124.00, 1507.34
182, 4518038.00, 3219307.00, 1798.93
183, 4526596.00, 3247426.00, 2485.88
184, 4549566.00, 3225178.00, 1616.07
185, 4543149.00, 3260943.00, 9.88
186, 4560317.00, 3212159.00, 3237.08
187, 4551726.00, 3215889.00, 4062.41
188, 4558318.00, 3206624.00, 1467.81
189, 4565191.00, 3210211.00, 3036.93
190, 4534906.00, 3253107.00, 704.25
191, 4537893.00, 3216154.00, 3078.93
192, 4548799.00, 3218878.00, 4104.42
193, 4541604.00, 3247670.00, 2599.55
194, 4583123.00, 3221754.00, 2888.66
195, 4551812.00, 3227824.00, 3303.80
196, 4538204.00, 3227360.00, 1067.50
197, 4530456.00, 3218586.00, 4499.79
198, 4541506.00, 3247097.00, 2723.10
199, 4562724.00, 3237929.00, 1934.84
200, 4544119.00, 3225185.00, 3896.85
201, 4585333.00, 3250591.00, 1084.79
202, 4518923.00, 3259497.00, 311.35
203, 4569509.00, 3254386.00, 140.85
204, 4559197.00, 3213513.00, 3736.23
205, 4530430.00, 3254573.00, 3031.98
206, 4575606.00, 3229043.00, 2181.94
207, 4530336.00, 3257064.00, 2765.11
208, 4582260.00, 3252880.00, 2463.64
209, 4527326.00, 3230056.00, 1608.66
210, 4522618.00, 3201540.00, 3434.76
211, 4523957.00, 3219791.00, 7558.95
212, 4585318.00, 3209944.00, 1779.16
213, 4545107.00, 3201457.00, 3523.72
214, 4533163.00, 3213864.00, 27.18
215, 4554509.00, 3205658.00, 1257.77
216, 4535800.00, 3200517.00, 1465.33
217, 4569621.00, 3226409.00, 2174.53
218, 4544565.00, 3202065.00, 19.77
219, 4579743.00, 3240014.00, 6661.96
220, 4536113.00, 3262322.00, 321.24
221, 4520086.00, 3224604.00, 5031.07
222, 4545092.00, 3245772.00, 879.70
223, 4528132.00, 3263022.00, 931.59
224, 4582049.00, 3226213.00, 627.65
225, 4581276.00, 3216742.00, 2233.83
226, 4533966.00, 3200383.00, 2666.27
227, 4536296.00, 3229351.00, 2221.48
228, 4574156.00, 3256624.00, 3059.16
229, 4562211.00, 3196988.00, 1178.69
230, 4529656.00, 3199125.00, 2898.55
231, 4559286.00, 3254762.00, 1260.24
232, 4575342.00, 3249820.00, 4850.68
233, 4584719.00, 3199538.00, 333.59
234, 4583959.00, 3210311.00, 2110.28
235, 4524113.00, 3206072.00, 901.93
236, 4524135.00, 3252586.00, 34.59
237, 4538221.00, 3260524.00, 3150.59
238, 4533838.00, 3196947.00, 988.42
239, 4530296.00, 3214844.00, 3284.03
240, 4522441.00, 3202050.00, 3333.45
241, 4526864.00, 3202414.00, 8307.68
242, 4560915.00, 3223423.00, 615.29
243, 4540951.00, 3244258.00, 1181.16
244, 4524403.00, 3222841.00, 14915.28
245, 4585016.00, 3220872.00, 1922.48
246, 4561178.00, 3239817.00, 3501.48
247, 4526389.00, 3217772.00, 8189.07
248, 4541032.00, 3249222.00, 2233.83
249, 4583178.00, 3253718.00, 3022.10
250, 4529310.00, 3220050.00, 13247.32
251, 4524420.00, 3250621.00, 2265.96
252, 4579678.00, 3207910.00, 2426.57
253, 4528632.00, 3250811.00, 2952.91
254, 4550740.00, 3241909.00, 1798.93
255, 4537589.00, 3200383.00, 1482.63
256, 4528273.00, 3201471.00, 6879.41
257, 4519582.00, 3256746.00, 321.24
258, 4539167.00, 3259810.00, 2090.51
259, 4520914.00, 3250895.00, 3686.81
260, 4582113.00, 3242420.00, 6476.63
261, 4561966.00, 3206880.00, 2028.74
262, 4564606.00, 3203979.00, 1905.18
263, 4571567.00, 3262212.00, 1470.28
264, 4535325.00, 3213312.00, 934.06
265, 4533875.00, 3231127.00, 2708.27
266, 4556434.00, 3252319.00, 654.83
267, 4572657.00, 3262684.00, 1640.78
268, 4530340.00, 3239612.00, 748.73
269, 4560386.00, 3202035.00, 845.10
270, 4579442.00, 3237019.00, 7801.12
271, 4569122.00, 3247321.00, 632.59
272, 4577579.00, 3232112.00, 3763.41
273, 4540044.00, 3233181.00, 3592.91
274, 4565953.00, 3237471.00, 3296.39
275, 4578004.00, 3222964.00, 3009.74
276, 4540018.00, 3250229.00, 79.07
277, 4545164.00, 3223799.00, 4386.12
278, 4573917.00, 3237756.00, 724.02
279, 4582186.00, 3220752.00, 2639.09
280, 4518728.00, 3235993.00, 610.35
281, 4519574.00, 3217812.00, 2147.35
282, 4562396.00, 3213310.00, 5690.84
283, 4536623.00, 3233001.00, 2846.65
284, 4574547.00, 3203218.00, 1749.51
285, 4544636.00, 3211377.00, 1040.31
286, 4552727.00, 3241766.00, 1962.02
287, 4536859.00, 3217384.00, 2147.35
288, 4582107.00, 3252815.00, 2396.92
289, 4520635.00, 3222045.00, 2377.15
290, 4558786.00, 3228441.00, 3587.97
291, 4524744.00, 3205721.00, 3128.35
292, 4550898.00, 3204273.00, 1072.44
293, 4563002.00, 3211431.00, 5293.00
294, 4531788.00, 3246998.00, 2431.52
295, 4518408.00, 3221395.00, 2263.49
296, 4585005.00, 3201723.00, 924.17
